age_bin,avg_kwh,avg_therms
0,260386.94,16358.76
10,588527.66,29491.69
20,715046.22,44218.67
30,589189.99,31957.64
40,226023.71,19650.05
50,199831.41,18372.45
60,170440.85,18216.17
70,149181.92,18370.16
80,89283.49,15574.29
90,109847.40,14071.46
100,74978.35,11641.62
110,60530.92,9018.72
120,46544.20,7554.99
130,53338.10,4931.82
140,24017.66,4112.17
150,14924.67,2260.67
